Category: All categories

Week,amazon: (Worldwide)
2017-12-03,82
2017-12-10,82
2017-12-17,80
2017-12-24,70
2017-12-31,64
2018-01-07,63
2018-01-14,60
2018-01-21,59
2018-01-28,61
2018-02-04,58
2018-02-11,56
2018-02-18,55
2018-02-25,57
2018-03-04,56
2018-03-11,57
2018-03-18,57
2018-03-25,56
2018-04-01,55
2018-04-08,55
2018-04-15,52
2018-04-22,56
2018-04-29,55
2018-05-06,53
2018-05-13,54
2018-05-20,53
2018-05-27,55
2018-06-03,57
2018-06-10,54
2018-06-17,54
2018-06-24,50
2018-07-01,54
2018-07-08,56
2018-07-15,74
2018-07-22,60
2018-07-29,57
2018-08-05,57
2018-08-12,55
2018-08-19,56
2018-08-26,59
2018-09-02,59
2018-09-09,55
2018-09-16,55
2018-09-23,56
2018-09-30,53
2018-10-07,60
2018-10-14,59
2018-10-21,61
2018-10-28,60
2018-11-04,62
2018-11-11,68
2018-11-18,90
2018-11-25,79
2018-12-02,74
2018-12-09,79
2018-12-16,74
2018-12-23,66
2018-12-30,63
2019-01-06,62
2019-01-13,61
2019-01-20,58
2019-01-27,57
2019-02-03,57
2019-02-10,57
2019-02-17,55
2019-02-24,55
2019-03-03,57
2019-03-10,55
2019-03-17,53
2019-03-24,55
2019-03-31,57
2019-04-07,55
2019-04-14,57
2019-04-21,57
2019-04-28,56
2019-05-05,57
2019-05-12,57
2019-05-19,56
2019-05-26,58
2019-06-02,58
2019-06-09,58
2019-06-16,60
2019-06-23,60
2019-06-30,58
2019-07-07,64
2019-07-14,78
2019-07-21,57
2019-07-28,60
2019-08-04,60
2019-08-11,63
2019-08-18,70
2019-08-25,64
2019-09-01,61
2019-09-08,62
2019-09-15,63
2019-09-22,63
2019-09-29,68
2019-10-06,63
2019-10-13,67
2019-10-20,68
2019-10-27,69
2019-11-03,67
2019-11-10,74
2019-11-17,82
2019-11-24,100
2019-12-01,95
2019-12-08,86
2019-12-15,86
2019-12-22,74
2019-12-29,69
2020-01-05,70
2020-01-12,64
2020-01-19,65
2020-01-26,66
2020-02-02,64
2020-02-09,65
2020-02-16,64
2020-02-23,65
2020-03-01,67
2020-03-08,69
2020-03-15,78
2020-03-22,81
2020-03-29,84
2020-04-05,83
2020-04-12,84
2020-04-19,84
2020-04-26,87
2020-05-03,87
2020-05-10,89
2020-05-17,86
2020-05-24,81
2020-05-31,80
2020-06-07,78
2020-06-14,78
2020-06-21,77
2020-06-28,79
2020-07-05,78
2020-07-12,78
2020-07-19,75
2020-07-26,72
2020-08-02,78
2020-08-09,74
2020-08-16,73
2020-08-23,72
2020-08-30,74
2020-09-06,70
2020-09-13,68
2020-09-20,72
2020-09-27,70
2020-10-04,73
2020-10-11,90
2020-10-18,76
2020-10-25,78
2020-11-01,72
2020-11-08,86
2020-11-15,93
2020-11-22,94
2020-11-29,96
2020-12-06,95
2020-12-13,90
2020-12-20,82
2020-12-27,83
2021-01-03,77
2021-01-10,70
2021-01-17,78
2021-01-24,73
2021-01-31,73
2021-02-07,70
2021-02-14,67
2021-02-21,67
2021-02-28,68
2021-03-07,67
2021-03-14,67
2021-03-21,66
2021-03-28,67
2021-04-04,69
2021-04-11,67
2021-04-18,65
2021-04-25,67
2021-05-02,66
2021-05-09,66
2021-05-16,63
2021-05-23,65
2021-05-30,68
2021-06-06,64
2021-06-13,61
2021-06-20,73
2021-06-27,59
2021-07-04,61
2021-07-11,64
2021-07-18,65
2021-07-25,62
2021-08-01,62
2021-08-08,60
2021-08-15,61
2021-08-22,65
2021-08-29,62
2021-09-05,61
2021-09-12,63
2021-09-19,64
2021-09-26,62
2021-10-03,65
2021-10-10,64
2021-10-17,64
2021-10-24,63
2021-10-31,66
2021-11-07,67
2021-11-14,71
2021-11-21,81
2021-11-28,83
2021-12-05,77
2021-12-12,78
2021-12-19,70
2021-12-26,70
2022-01-02,68
2022-01-09,65
2022-01-16,66
2022-01-23,62
2022-01-30,68
2022-02-06,66
2022-02-13,61
2022-02-20,61
2022-02-27,60
2022-03-06,61
2022-03-13,59
2022-03-20,60
2022-03-27,60
2022-04-03,59
2022-04-10,58
2022-04-17,58
2022-04-24,59
2022-05-01,67
2022-05-08,56
2022-05-15,59
2022-05-22,58
2022-05-29,60
2022-06-05,65
2022-06-12,62
2022-06-19,63
2022-06-26,63
2022-07-03,64
2022-07-10,81
2022-07-17,69
2022-07-24,62
2022-07-31,64
2022-08-07,67
2022-08-14,67
2022-08-21,64
2022-08-28,65
2022-09-04,63
2022-09-11,63
2022-09-18,70
2022-09-25,66
2022-10-02,65
2022-10-09,71
2022-10-16,65
2022-10-23,64
2022-10-30,64
2022-11-06,67
2022-11-13,76
2022-11-20,78
