Category: All categories

Week,drake: (Worldwide)
2017-12-03,20
2017-12-10,21
2017-12-17,20
2017-12-24,24
2017-12-31,22
2018-01-07,21
2018-01-14,24
2018-01-21,31
2018-01-28,27
2018-02-04,24
2018-02-11,32
2018-02-18,34
2018-02-25,32
2018-03-04,30
2018-03-11,33
2018-03-18,28
2018-03-25,28
2018-04-01,31
2018-04-08,50
2018-04-15,31
2018-04-22,28
2018-04-29,28
2018-05-06,25
2018-05-13,33
2018-05-20,35
2018-05-27,100
2018-06-03,41
2018-06-10,31
2018-06-17,35
2018-06-24,72
2018-07-01,67
2018-07-08,66
2018-07-15,58
2018-07-22,61
2018-07-29,52
2018-08-05,43
2018-08-12,38
2018-08-19,37
2018-08-26,34
2018-09-02,34
2018-09-09,33
2018-09-16,33
2018-09-23,31
2018-09-30,28
2018-10-07,34
2018-10-14,37
2018-10-21,31
2018-10-28,26
2018-11-04,25
2018-11-11,24
2018-11-18,24
2018-11-25,25
2018-12-02,24
2018-12-09,33
2018-12-16,27
2018-12-23,24
2018-12-30,26
2019-01-06,26
2019-01-13,24
2019-01-20,27
2019-01-27,20
2019-02-03,21
2019-02-10,28
2019-02-17,24
2019-02-24,22
2019-03-03,20
2019-03-10,22
2019-03-17,23
2019-03-24,19
2019-03-31,22
2019-04-07,20
2019-04-14,21
2019-04-21,18
2019-04-28,20
2019-05-05,19
2019-05-12,20
2019-05-19,24
2019-05-26,34
2019-06-02,29
2019-06-09,32
2019-06-16,24
2019-06-23,19
2019-06-30,19
2019-07-07,18
2019-07-14,18
2019-07-21,19
2019-07-28,25
2019-08-04,21
2019-08-11,24
2019-08-18,19
2019-08-25,18
2019-09-01,18
2019-09-08,18
2019-09-15,19
2019-09-22,21
2019-09-29,20
2019-10-06,17
2019-10-13,17
2019-10-20,22
2019-10-27,19
2019-11-03,20
2019-11-10,24
2019-11-17,23
2019-11-24,18
2019-12-01,18
2019-12-08,19
2019-12-15,18
2019-12-22,24
2019-12-29,21
2020-01-05,20
2020-01-12,20
2020-01-19,19
2020-01-26,19
2020-02-02,18
2020-02-09,18
2020-02-16,18
2020-02-23,17
2020-03-01,22
2020-03-08,17
2020-03-15,16
2020-03-22,17
2020-03-29,36
2020-04-05,25
2020-04-12,26
2020-04-19,24
2020-04-26,30
2020-05-03,24
2020-05-10,21
2020-05-17,21
2020-05-24,21
2020-05-31,19
2020-06-07,19
2020-06-14,19
2020-06-21,19
2020-06-28,17
2020-07-05,18
2020-07-12,21
2020-07-19,25
2020-07-26,20
2020-08-02,18
2020-08-09,23
2020-08-16,22
2020-08-23,19
2020-08-30,20
2020-09-06,22
2020-09-13,17
2020-09-20,17
2020-09-27,17
2020-10-04,17
2020-10-11,17
2020-10-18,19
2020-10-25,19
2020-11-01,14
2020-11-08,16
2020-11-15,20
2020-11-22,18
2020-11-29,18
2020-12-06,16
2020-12-13,17
2020-12-20,17
2020-12-27,18
2021-01-03,18
2021-01-10,17
2021-01-17,16
2021-01-24,16
2021-01-31,16
2021-02-07,18
2021-02-14,15
2021-02-21,16
2021-02-28,21
2021-03-07,19
2021-03-14,21
2021-03-21,15
2021-03-28,16
2021-04-04,16
2021-04-11,16
2021-04-18,15
2021-04-25,15
2021-05-02,16
2021-05-09,16
2021-05-16,16
2021-05-23,19
2021-05-30,22
2021-06-06,20
2021-06-13,16
2021-06-20,23
2021-06-27,18
2021-07-04,17
2021-07-11,24
2021-07-18,20
2021-07-25,19
2021-08-01,17
2021-08-08,17
2021-08-15,18
2021-08-22,21
2021-08-29,47
2021-09-05,36
2021-09-12,24
2021-09-19,21
2021-09-26,18
2021-10-03,18
2021-10-10,17
2021-10-17,17
2021-10-24,18
2021-10-31,16
2021-11-07,18
2021-11-14,18
2021-11-21,16
2021-11-28,16
2021-12-05,23
2021-12-12,17
2021-12-19,17
2021-12-26,16
2022-01-02,17
2022-01-09,27
2022-01-16,19
2022-01-23,17
2022-01-30,21
2022-02-06,17
2022-02-13,21
2022-02-20,17
2022-02-27,16
2022-03-06,16
2022-03-13,16
2022-03-20,17
2022-03-27,15
2022-04-03,15
2022-04-10,17
2022-04-17,17
2022-04-24,18
2022-05-01,16
2022-05-08,16
2022-05-15,15
2022-05-22,14
2022-05-29,15
2022-06-05,14
2022-06-12,24
2022-06-19,23
2022-06-26,17
2022-07-03,18
2022-07-10,18
2022-07-17,17
2022-07-24,16
2022-07-31,18
2022-08-07,19
2022-08-14,17
2022-08-21,15
2022-08-28,17
2022-09-04,15
2022-09-11,17
2022-09-18,16
2022-09-25,15
2022-10-02,15
2022-10-09,16
2022-10-16,18
2022-10-23,19
2022-10-30,34
2022-11-06,30
2022-11-13,21
2022-11-20,17
