Category: All categories

Week,weather: (Worldwide)
2017-12-03,66
2017-12-10,65
2017-12-17,57
2017-12-24,70
2017-12-31,80
2018-01-07,76
2018-01-14,68
2018-01-21,54
2018-01-28,57
2018-02-04,68
2018-02-11,60
2018-02-18,67
2018-02-25,95
2018-03-04,58
2018-03-11,66
2018-03-18,75
2018-03-25,63
2018-04-01,70
2018-04-08,71
2018-04-15,74
2018-04-22,63
2018-04-29,69
2018-05-06,67
2018-05-13,73
2018-05-20,74
2018-05-27,84
2018-06-03,69
2018-06-10,68
2018-06-17,68
2018-06-24,69
2018-07-01,71
2018-07-08,68
2018-07-15,79
2018-07-22,81
2018-07-29,76
2018-08-05,73
2018-08-12,70
2018-08-19,69
2018-08-26,67
2018-09-02,68
2018-09-09,76
2018-09-16,64
2018-09-23,63
2018-09-30,59
2018-10-07,69
2018-10-14,60
2018-10-21,54
2018-10-28,54
2018-11-04,53
2018-11-11,62
2018-11-18,54
2018-11-25,58
2018-12-02,62
2018-12-09,59
2018-12-16,56
2018-12-23,61
2018-12-30,63
2019-01-06,60
2019-01-13,75
2019-01-20,76
2019-01-27,96
2019-02-03,82
2019-02-10,76
2019-02-17,79
2019-02-24,77
2019-03-03,77
2019-03-10,63
2019-03-17,47
2019-03-24,47
2019-03-31,54
2019-04-07,54
2019-04-14,62
2019-04-21,54
2019-04-28,60
2019-05-05,61
2019-05-12,58
2019-05-19,60
2019-05-26,64
2019-06-02,62
2019-06-09,70
2019-06-16,70
2019-06-23,66
2019-06-30,66
2019-07-07,61
2019-07-14,66
2019-07-21,73
2019-07-28,64
2019-08-04,62
2019-08-11,59
2019-08-18,54
2019-08-25,55
2019-09-01,55
2019-09-08,47
2019-09-15,47
2019-09-22,52
2019-09-29,59
2019-10-06,66
2019-10-13,61
2019-10-20,65
2019-10-27,69
2019-11-03,62
2019-11-10,66
2019-11-17,60
2019-11-24,63
2019-12-01,62
2019-12-08,65
2019-12-15,69
2019-12-22,67
2019-12-29,74
2020-01-05,79
2020-01-12,87
2020-01-19,67
2020-01-26,62
2020-02-02,67
2020-02-09,70
2020-02-16,65
2020-02-23,68
2020-03-01,68
2020-03-08,67
2020-03-15,53
2020-03-22,52
2020-03-29,52
2020-04-05,56
2020-04-12,54
2020-04-19,55
2020-04-26,56
2020-05-03,61
2020-05-10,60
2020-05-17,67
2020-05-24,73
2020-05-31,72
2020-06-07,71
2020-06-14,72
2020-06-21,77
2020-06-28,72
2020-07-05,75
2020-07-12,69
2020-07-19,74
2020-07-26,72
2020-08-02,73
2020-08-09,76
2020-08-16,72
2020-08-23,77
2020-08-30,68
2020-09-06,65
2020-09-13,58
2020-09-20,61
2020-09-27,60
2020-10-04,57
2020-10-11,60
2020-10-18,59
2020-10-25,60
2020-11-01,49
2020-11-08,57
2020-11-15,58
2020-11-22,58
2020-11-29,61
2020-12-06,61
2020-12-13,72
2020-12-20,67
2020-12-27,81
2021-01-03,70
2021-01-10,59
2021-01-17,64
2021-01-24,68
2021-01-31,69
2021-02-07,73
2021-02-14,81
2021-02-21,59
2021-02-28,54
2021-03-07,56
2021-03-14,55
2021-03-21,65
2021-03-28,59
2021-04-04,61
2021-04-11,63
2021-04-18,63
2021-04-25,65
2021-05-02,76
2021-05-09,67
2021-05-16,73
2021-05-23,71
2021-05-30,74
2021-06-06,75
2021-06-13,81
2021-06-20,80
2021-06-27,87
2021-07-04,87
2021-07-11,87
2021-07-18,90
2021-07-25,87
2021-08-01,72
2021-08-08,72
2021-08-15,72
2021-08-22,67
2021-08-29,70
2021-09-05,72
2021-09-12,67
2021-09-19,69
2021-09-26,71
2021-10-03,68
2021-10-10,65
2021-10-17,68
2021-10-24,65
2021-10-31,57
2021-11-07,58
2021-11-14,59
2021-11-21,59
2021-11-28,61
2021-12-05,70
2021-12-12,66
2021-12-19,66
2021-12-26,78
2022-01-02,84
2022-01-09,69
2022-01-16,77
2022-01-23,69
2022-01-30,83
2022-02-06,60
2022-02-13,61
2022-02-20,67
2022-02-27,54
2022-03-06,62
2022-03-13,55
2022-03-20,55
2022-03-27,55
2022-04-03,59
2022-04-10,67
2022-04-17,58
2022-04-24,59
2022-05-01,64
2022-05-08,63
2022-05-15,77
2022-05-22,75
2022-05-29,69
2022-06-05,72
2022-06-12,82
2022-06-19,81
2022-06-26,89
2022-07-03,89
2022-07-10,88
2022-07-17,100
2022-07-24,83
2022-07-31,79
2022-08-07,75
2022-08-14,79
2022-08-21,75
2022-08-28,70
2022-09-04,72
2022-09-11,68
2022-09-18,71
2022-09-25,71
2022-10-02,64
2022-10-09,66
2022-10-16,57
2022-10-23,60
2022-10-30,63
2022-11-06,65
2022-11-13,63
2022-11-20,53
