Category: All categories

Week,taylor swift: (Worldwide)
2017-12-03,36
2017-12-10,33
2017-12-17,25
2017-12-24,24
2017-12-31,21
2018-01-07,22
2018-01-14,20
2018-01-21,17
2018-01-28,19
2018-02-04,16
2018-02-11,14
2018-02-18,14
2018-02-25,15
2018-03-04,14
2018-03-11,25
2018-03-18,15
2018-03-25,16
2018-04-01,15
2018-04-08,15
2018-04-15,17
2018-04-22,16
2018-04-29,16
2018-05-06,24
2018-05-13,18
2018-05-20,25
2018-05-27,19
2018-06-03,17
2018-06-10,18
2018-06-17,16
2018-06-24,15
2018-07-01,16
2018-07-08,20
2018-07-15,20
2018-07-22,21
2018-07-29,18
2018-08-05,17
2018-08-12,16
2018-08-19,15
2018-08-26,16
2018-09-02,13
2018-09-09,13
2018-09-16,14
2018-09-23,13
2018-09-30,13
2018-10-07,33
2018-10-14,15
2018-10-21,13
2018-10-28,13
2018-11-04,13
2018-11-11,11
2018-11-18,12
2018-11-25,11
2018-12-02,11
2018-12-09,14
2018-12-16,11
2018-12-23,12
2018-12-30,27
2019-01-06,16
2019-01-13,13
2019-01-20,11
2019-01-27,10
2019-02-03,10
2019-02-10,13
2019-02-17,10
2019-02-24,13
2019-03-03,13
2019-03-10,11
2019-03-17,10
2019-03-24,9
2019-03-31,10
2019-04-07,12
2019-04-14,13
2019-04-21,39
2019-04-28,32
2019-05-05,18
2019-05-12,17
2019-05-19,16
2019-05-26,15
2019-06-02,14
2019-06-09,19
2019-06-16,30
2019-06-23,14
2019-06-30,37
2019-07-07,18
2019-07-14,15
2019-07-21,19
2019-07-28,14
2019-08-04,16
2019-08-11,23
2019-08-18,44
2019-08-25,43
2019-09-01,24
2019-09-08,18
2019-09-15,20
2019-09-22,15
2019-09-29,15
2019-10-06,17
2019-10-13,16
2019-10-20,14
2019-10-27,15
2019-11-03,14
2019-11-10,20
2019-11-17,18
2019-11-24,31
2019-12-01,19
2019-12-08,20
2019-12-15,17
2019-12-22,16
2019-12-29,16
2020-01-05,14
2020-01-12,11
2020-01-19,16
2020-01-26,23
2020-02-02,32
2020-02-09,19
2020-02-16,15
2020-02-23,19
2020-03-01,15
2020-03-08,11
2020-03-15,14
2020-03-22,19
2020-03-29,12
2020-04-05,12
2020-04-12,12
2020-04-19,16
2020-04-26,13
2020-05-03,12
2020-05-10,12
2020-05-17,17
2020-05-24,14
2020-05-31,12
2020-06-07,11
2020-06-14,11
2020-06-21,11
2020-06-28,10
2020-07-05,11
2020-07-12,10
2020-07-19,50
2020-07-26,42
2020-08-02,25
2020-08-09,19
2020-08-16,19
2020-08-23,16
2020-08-30,16
2020-09-06,13
2020-09-13,16
2020-09-20,13
2020-09-27,14
2020-10-04,12
2020-10-11,11
2020-10-18,11
2020-10-25,11
2020-11-01,10
2020-11-08,12
2020-11-15,13
2020-11-22,17
2020-11-29,15
2020-12-06,34
2020-12-13,30
2020-12-20,19
2020-12-27,19
2021-01-03,16
2021-01-10,14
2021-01-17,13
2021-01-24,13
2021-01-31,13
2021-02-07,21
2021-02-14,17
2021-02-21,14
2021-02-28,16
2021-03-07,13
2021-03-14,27
2021-03-21,16
2021-03-28,15
2021-04-04,24
2021-04-11,20
2021-04-18,16
2021-04-25,14
2021-05-02,13
2021-05-09,17
2021-05-16,13
2021-05-23,13
2021-05-30,13
2021-06-06,12
2021-06-13,14
2021-06-20,14
2021-06-27,14
2021-07-04,13
2021-07-11,13
2021-07-18,14
2021-07-25,13
2021-08-01,14
2021-08-08,13
2021-08-15,12
2021-08-22,14
2021-08-29,13
2021-09-05,12
2021-09-12,15
2021-09-19,14
2021-09-26,13
2021-10-03,12
2021-10-10,13
2021-10-17,13
2021-10-24,14
2021-10-31,17
2021-11-07,56
2021-11-14,78
2021-11-21,33
2021-11-28,23
2021-12-05,20
2021-12-12,22
2021-12-19,17
2021-12-26,20
2022-01-02,18
2022-01-09,17
2022-01-16,16
2022-01-23,19
2022-01-30,17
2022-02-06,18
2022-02-13,19
2022-02-20,16
2022-02-27,15
2022-03-06,14
2022-03-13,14
2022-03-20,15
2022-03-27,16
2022-04-03,19
2022-04-10,17
2022-04-17,18
2022-04-24,16
2022-05-01,21
2022-05-08,18
2022-05-15,29
2022-05-22,17
2022-05-29,15
2022-06-05,14
2022-06-12,14
2022-06-19,17
2022-06-26,16
2022-07-03,16
2022-07-10,15
2022-07-17,16
2022-07-24,16
2022-07-31,21
2022-08-07,16
2022-08-14,16
2022-08-21,16
2022-08-28,33
2022-09-04,20
2022-09-11,17
2022-09-18,18
2022-09-25,19
2022-10-02,21
2022-10-09,20
2022-10-16,70
2022-10-23,58
2022-10-30,66
2022-11-06,43
2022-11-13,100
2022-11-20,40
