Category: All categories

Week,youtube: (Worldwide)
2017-12-03,91
2017-12-10,95
2017-12-17,99
2017-12-24,100
2017-12-31,94
2018-01-07,94
2018-01-14,94
2018-01-21,95
2018-01-28,92
2018-02-04,93
2018-02-11,92
2018-02-18,91
2018-02-25,88
2018-03-04,90
2018-03-11,95
2018-03-18,93
2018-03-25,92
2018-04-01,94
2018-04-08,91
2018-04-15,87
2018-04-22,88
2018-04-29,88
2018-05-06,86
2018-05-13,86
2018-05-20,87
2018-05-27,87
2018-06-03,87
2018-06-10,87
2018-06-17,82
2018-06-24,83
2018-07-01,80
2018-07-08,79
2018-07-15,78
2018-07-22,85
2018-07-29,81
2018-08-05,80
2018-08-12,80
2018-08-19,79
2018-08-26,85
2018-09-02,85
2018-09-09,86
2018-09-16,77
2018-09-23,80
2018-09-30,76
2018-10-07,75
2018-10-14,80
2018-10-21,75
2018-10-28,77
2018-11-04,75
2018-11-11,78
2018-11-18,77
2018-11-25,77
2018-12-02,76
2018-12-09,74
2018-12-16,73
2018-12-23,75
2018-12-30,73
2019-01-06,70
2019-01-13,72
2019-01-20,67
2019-01-27,73
2019-02-03,69
2019-02-10,71
2019-02-17,73
2019-02-24,72
2019-03-03,69
2019-03-10,68
2019-03-17,69
2019-03-24,69
2019-03-31,68
2019-04-07,65
2019-04-14,66
2019-04-21,66
2019-04-28,67
2019-05-05,67
2019-05-12,69
2019-05-19,72
2019-05-26,71
2019-06-02,68
2019-06-09,68
2019-06-16,73
2019-06-23,70
2019-06-30,67
2019-07-07,67
2019-07-14,65
2019-07-21,68
2019-07-28,65
2019-08-04,65
2019-08-11,67
2019-08-18,70
2019-08-25,68
2019-09-01,69
2019-09-08,67
2019-09-15,66
2019-09-22,66
2019-09-29,67
2019-10-06,68
2019-10-13,66
2019-10-20,68
2019-10-27,66
2019-11-03,66
2019-11-10,65
2019-11-17,67
2019-11-24,64
2019-12-01,65
2019-12-08,69
2019-12-15,67
2019-12-22,67
2019-12-29,64
2020-01-05,63
2020-01-12,61
2020-01-19,65
2020-01-26,62
2020-02-02,62
2020-02-09,66
2020-02-16,65
2020-02-23,62
2020-03-01,61
2020-03-08,62
2020-03-15,68
2020-03-22,71
2020-03-29,73
2020-04-05,74
2020-04-12,71
2020-04-19,70
2020-04-26,71
2020-05-03,69
2020-05-10,68
2020-05-17,64
2020-05-24,65
2020-05-31,62
2020-06-07,63
2020-06-14,63
2020-06-21,64
2020-06-28,65
2020-07-05,63
2020-07-12,64
2020-07-19,61
2020-07-26,62
2020-08-02,62
2020-08-09,61
2020-08-16,62
2020-08-23,64
2020-08-30,64
2020-09-06,65
2020-09-13,66
2020-09-20,65
2020-09-27,63
2020-10-04,63
2020-10-11,62
2020-10-18,60
2020-10-25,61
2020-11-01,58
2020-11-08,64
2020-11-15,63
2020-11-22,60
2020-11-29,61
2020-12-06,62
2020-12-13,67
2020-12-20,63
2020-12-27,60
2021-01-03,60
2021-01-10,60
2021-01-17,61
2021-01-24,62
2021-01-31,63
2021-02-07,58
2021-02-14,60
2021-02-21,62
2021-02-28,59
2021-03-07,61
2021-03-14,58
2021-03-21,59
2021-03-28,60
2021-04-04,60
2021-04-11,59
2021-04-18,59
2021-04-25,60
2021-05-02,59
2021-05-09,58
2021-05-16,58
2021-05-23,59
2021-05-30,57
2021-06-06,60
2021-06-13,56
2021-06-20,57
2021-06-27,57
2021-07-04,56
2021-07-11,58
2021-07-18,53
2021-07-25,56
2021-08-01,52
2021-08-08,53
2021-08-15,55
2021-08-22,56
2021-08-29,56
2021-09-05,58
2021-09-12,60
2021-09-19,60
2021-09-26,55
2021-10-03,57
2021-10-10,57
2021-10-17,58
2021-10-24,56
2021-10-31,54
2021-11-07,54
2021-11-14,57
2021-11-21,57
2021-11-28,57
2021-12-05,58
2021-12-12,62
2021-12-19,59
2021-12-26,58
2022-01-02,57
2022-01-09,56
2022-01-16,56
2022-01-23,54
2022-01-30,59
2022-02-06,58
2022-02-13,53
2022-02-20,54
2022-02-27,58
2022-03-06,49
2022-03-13,54
2022-03-20,55
2022-03-27,50
2022-04-03,54
2022-04-10,52
2022-04-17,54
2022-04-24,54
2022-05-01,54
2022-05-08,54
2022-05-15,56
2022-05-22,55
2022-05-29,55
2022-06-05,56
2022-06-12,55
2022-06-19,56
2022-06-26,54
2022-07-03,52
2022-07-10,53
2022-07-17,53
2022-07-24,51
2022-07-31,53
2022-08-07,53
2022-08-14,52
2022-08-21,52
2022-08-28,53
2022-09-04,51
2022-09-11,52
2022-09-18,54
2022-09-25,54
2022-10-02,53
2022-10-09,57
2022-10-16,53
2022-10-23,54
2022-10-30,53
2022-11-06,55
2022-11-13,55
2022-11-20,51
