Category: All categories

Week,justin bieber: (Worldwide)
2017-12-03,40
2017-12-10,37
2017-12-17,36
2017-12-24,39
2017-12-31,34
2018-01-07,30
2018-01-14,31
2018-01-21,28
2018-01-28,30
2018-02-04,28
2018-02-11,29
2018-02-18,31
2018-02-25,41
2018-03-04,28
2018-03-11,27
2018-03-18,29
2018-03-25,30
2018-04-01,28
2018-04-08,27
2018-04-15,26
2018-04-22,24
2018-04-29,23
2018-05-06,24
2018-05-13,23
2018-05-20,22
2018-05-27,23
2018-06-03,23
2018-06-10,25
2018-06-17,25
2018-06-24,23
2018-07-01,23
2018-07-08,100
2018-07-15,34
2018-07-22,29
2018-07-29,29
2018-08-05,29
2018-08-12,27
2018-08-19,25
2018-08-26,24
2018-09-02,23
2018-09-09,28
2018-09-16,28
2018-09-23,22
2018-09-30,22
2018-10-07,26
2018-10-14,26
2018-10-21,23
2018-10-28,24
2018-11-04,23
2018-11-11,21
2018-11-18,24
2018-11-25,19
2018-12-02,20
2018-12-09,19
2018-12-16,20
2018-12-23,22
2018-12-30,23
2019-01-06,18
2019-01-13,17
2019-01-20,19
2019-01-27,16
2019-02-03,23
2019-02-10,22
2019-02-17,18
2019-02-24,21
2019-03-03,18
2019-03-10,20
2019-03-17,18
2019-03-24,23
2019-03-31,24
2019-04-07,15
2019-04-14,18
2019-04-21,19
2019-04-28,17
2019-05-05,20
2019-05-12,18
2019-05-19,18
2019-05-26,16
2019-06-02,15
2019-06-09,24
2019-06-16,17
2019-06-23,18
2019-06-30,23
2019-07-07,28
2019-07-14,19
2019-07-21,17
2019-07-28,16
2019-08-04,15
2019-08-11,15
2019-08-18,15
2019-08-25,15
2019-09-01,19
2019-09-08,13
2019-09-15,13
2019-09-22,14
2019-09-29,33
2019-10-06,25
2019-10-13,15
2019-10-20,21
2019-10-27,18
2019-11-03,15
2019-11-10,15
2019-11-17,14
2019-11-24,14
2019-12-01,14
2019-12-08,13
2019-12-15,14
2019-12-22,23
2019-12-29,27
2020-01-05,34
2020-01-12,26
2020-01-19,21
2020-01-26,32
2020-02-02,25
2020-02-09,44
2020-02-16,41
2020-02-23,30
2020-03-01,27
2020-03-08,19
2020-03-15,18
2020-03-22,19
2020-03-29,19
2020-04-05,20
2020-04-12,18
2020-04-19,16
2020-04-26,18
2020-05-03,21
2020-05-10,18
2020-05-17,19
2020-05-24,17
2020-05-31,18
2020-06-07,16
2020-06-14,15
2020-06-21,26
2020-06-28,17
2020-07-05,15
2020-07-12,16
2020-07-19,16
2020-07-26,16
2020-08-02,16
2020-08-09,14
2020-08-16,14
2020-08-23,16
2020-08-30,15
2020-09-06,18
2020-09-13,19
2020-09-20,17
2020-09-27,15
2020-10-04,15
2020-10-11,19
2020-10-18,20
2020-10-25,16
2020-11-01,16
2020-11-08,19
2020-11-15,23
2020-11-22,23
2020-11-29,19
2020-12-06,18
2020-12-13,17
2020-12-20,20
2020-12-27,26
2021-01-03,21
2021-01-10,18
2021-01-17,16
2021-01-24,16
2021-01-31,15
2021-02-07,15
2021-02-14,15
2021-02-21,15
2021-02-28,22
2021-03-07,18
2021-03-14,25
2021-03-21,27
2021-03-28,24
2021-04-04,24
2021-04-11,24
2021-04-18,22
2021-04-25,23
2021-05-02,24
2021-05-09,20
2021-05-16,17
2021-05-23,19
2021-05-30,17
2021-06-06,16
2021-06-13,16
2021-06-20,17
2021-06-27,16
2021-07-04,16
2021-07-11,22
2021-07-18,18
2021-07-25,16
2021-08-01,16
2021-08-08,19
2021-08-15,20
2021-08-22,19
2021-08-29,18
2021-09-05,18
2021-09-12,24
2021-09-19,20
2021-09-26,16
2021-10-03,21
2021-10-10,20
2021-10-17,17
2021-10-24,16
2021-10-31,20
2021-11-07,17
2021-11-14,37
2021-11-21,21
2021-11-28,19
2021-12-05,17
2021-12-12,17
2021-12-19,16
2021-12-26,18
2022-01-02,16
2022-01-09,15
2022-01-16,15
2022-01-23,15
2022-01-30,18
2022-02-06,16
2022-02-13,19
2022-02-20,19
2022-02-27,21
2022-03-06,18
2022-03-13,20
2022-03-20,23
2022-03-27,24
2022-04-03,27
2022-04-10,21
2022-04-17,21
2022-04-24,23
2022-05-01,21
2022-05-08,17
2022-05-15,16
2022-05-22,20
2022-05-29,17
2022-06-05,49
2022-06-12,52
2022-06-19,23
2022-06-26,18
2022-07-03,17
2022-07-10,15
2022-07-17,15
2022-07-24,13
2022-07-31,18
2022-08-07,16
2022-08-14,14
2022-08-21,13
2022-08-28,16
2022-09-04,40
2022-09-11,14
2022-09-18,13
2022-09-25,14
2022-10-02,14
2022-10-09,12
2022-10-16,14
2022-10-23,11
2022-10-30,12
2022-11-06,12
2022-11-13,11
2022-11-20,10
